eng_name,kor_name
PLUS,플러스
POINTER,포인터
POLAR,폴라
POLIX,폴릭스
POLLINI,폴리니
POLLINI BAGS,폴리니 백
POLLINI SHOES,폴리니 슈즈
POLO RALPH LAUREN,폴로 랄프 로렌
POMANDRE,포만데레
POME BOHMIEN,포엠 보헤미안
POMIKAKI,포미카키
PORSCHE DESIGN,포르쉐 디자인
Porter Yoshida,요시다 포터
PORTS 1961,포츠 1961
POST CARD,포스트 카드
POWELL,파웰
POWER,파워
PRADA,프라다
PRADA LINEA ROSSA,프라다 리네아 로사
PRADA SHOES,프라다 슈즈
PRADA SPORT,프라다 스포츠
PREMIATA,프레미아타
PREMIATA WHITE,프레미아타 화이트
PREMIERE LIGNE,프리미에르 리뉴
PRINGLE OF SCOTLAND,프링글 오브 스코틀랜드
PRIVATE,프라이빗
PROENZA SCHOULER,프로엔자 슐러
PROGRESS,프로그레스
PROJECT E,프로젝트 이
PROJECT SINGLE,프로젝트 싱글
PROMOD,프로모드
PROSE,프로즈
PROSPETTIVE,프로스페티브
PROTAGONIST,프로타고니스트
PS PAUL SMITH,폴 스미스
PUCCI,푸치
PUGNAT,퍼그넷
PULCHRUM,풀크럼
PULCHRUM!,풀크럼!
PULL LOVE,풀 러브
PULLBEAR,풀앤베어
PULLOVER,풀오버
PUMA,푸마
PUROTATTO,퓨로타토
PURPLE,퍼플
PURPLE DENIM,퍼플 데님
PURPLE LABEL,퍼플 라벨
PURSUIT,퍼슈트
PYREX,파이렉스
QASIMI,카시미
QUADRA,콰드라
QUATTRO.DECIMI,콰트로.데치미
QUATTROCENTO,콰트로첸토
QUAY EYEWARE,퀘이 아이웨어
QUAY EYEWARE AUSTRALIA,퀘이 아이웨어 오스트레일리아
QUEEN,퀸
QUEEN HELENA,퀸 헬레나
QUEENSWAY,퀸스웨이
QUERINI,퀘리니
QUESTION MARK,퀘스천 마크
QUIKSILVER,퀵실버
QUINTESSENCE,퀸테센스
QUIZ,퀴즈
R.E.D. VALENTINO,R.E.D. 발렌티노
R13,알13
R95TH,알95티에이치
RACHEL ZOE,레이첼 조
RAG BONE,래그 앤 본
RAIMON BUNDO,레이몬 분도
RAINBOW,레인보우
RAINS,레인스
RALPH LAUREN,랄프 로렌
RAMY BROOK,라미 브룩
RANI ARABELLA,라니 아라벨라
RANPOLLO,란폴로
RAOUL,라울
RAPARO,라파로
RAVAZZOLO,라바졸로
Rayon Vert,레이온 버트
REBECCA,레베카
REBECCA MINKOFF,레베카 밍코프
REBECCA TAYLOR,레베카 테일러
REBELLO,레벨로
RED VALENTINO,레드 발렌티노
REDEMPTION,리뎀션
RE-EDITION,리-에디션
REFLEX,리플렉스
REFRESH,리프레시
REGAL,리갈
REGENT,리젠트
REGINA SCHRECKER,레지나 슈레커
RE-HASH,리-해시
RELISH,렐리쉬
RENATO BALESTRA,레나토 발레스트라
RENATO NUCCI,레나토 누치
RENE CAOVILLA,르네 카오빌라
RENE LEZARD,르네 레자드
REPEATS,리피츠
REPETTO,레페토
REPLAY,리플레이
REPRESENT,리프레젠트
Reptiles House,랩틸하우스
RESINE,레진
RESPIRO,레스피로
RETOIS,레토이스
RETRO,레트로
RETRO SUPER FUTURE,레트로 슈퍼 퓨처
REVISE,리바이스
REW,레우
RH45,RH45
RHEA COSTA,레아 코스타
RHUDE,루드
RICCARDO COMI,리카르도 코미
RICCARDO FORCONI,리카르도 포르코니
RICHARD JAMES,리차드 제임스
RICHMOND,리치몬드
RICHMOND DENIM,리치몬드 데님
RICHMOND JUNIOR,리치몬드 주니어
RICHMOND X,리치몬드
RICK OWENS,릭 오웬스
RICK OWENS DRKSHDW,릭 오웬스 다크쉐도우
RICK OWENS LILIES,릭 오웬스 릴리스
RICK OWENS X ADIDAS,릭 오웬스 X 아디다스
RIDERS,라이더스
RIETI,리에티
RINASCIMENTO,리나시멘토
RINDI,린디
RING,링
RIO,리오
RIPA,리파
RIPANI,리파니
RISSKIO,리스키오
RITA ORA,리타 오라
RIVER,리버
RIVER WOODS,리버 우즈
ROBERTO BOTTICELLI,로베르토 보티첼리
ROBERTO BOTTICELLI LIMITED,로베르토 보티첼리 리미티드
ROBERTO CAVALLI,로베르토 카발리
ROBERTO COLLINA,로베르토 콜리나
ROBERTO DEL CARLO,로베르토 델 카를로
ROBERTO FESTA,로베르토 페스타
ROBERTO PEPE,로베르토 페페
ROBERTO QUAGLIA,로베르토 콰글리아
ROBERTO SERPENTINI,로베르토 세르펜티니
ROCCO BAROCCO,로코 바로코
ROCCO P.,로코 P.
ROCCOBAROCCO,로코바로코
ROCHAS,로샤스
ROCHAS PARIS,로샤스 파리
ROCK 'N' ROLL,록 앤 롤
ROCKIT,로킷
ROCKPORT,락포트
RODARTE,로다테
ROGER VIVIER,로저 비비에
ROGIER VIVIER,로저 비비에
ROHKA,로카
ROIDAL,로이달
ROKSANDA,록산다
ROMEO GIGLI,로메오 질리
ROMEO GIGLI PLUS,로메오 질리 플러스
ROMINA CAPONI,로미나 카포니
RON WHITE,론 화이트
RONALD VAN DER KEMP,로날드 반 데르 켐프
ROSA CLARA,로사 클라라
ROSANTICA,로산티카
ROSSANO BISCONTI,로사노 비스콘티
ROSSIGNOL,로시뇰
ROSSIGNOL APPAREL,로시뇰 어패럴
ROSSOPURO,로소푸로
ROTA,로타
ROTATE,로테이트
ROUCHETTE,루셰트
ROUTE DES GARDEN,루트 데 가든
ROXY,록시
ROY ROGERS,로이 로저스
ROYAL,로얄
ROYAL REPUBLIQ,로얄 리퍼블릭
ROYAUMS,로얌스
RUBBER DUCK,러버 덕
RUCO LINE,루코 라인
RUGGER,러거
RUNDHOLZ,룬드홀즈
RUNTS,런츠
RUNWAY,런웨이
RUSCONI,루스코니
RUSH,러쉬
RUSSH,러쉬
RUTH EROTOKRITOU,루스 에로토크리토
RUTZ,루츠
RVE,레브
S MAX MARA,에스 막스 마라
S.MORITZ,S.모리츠
SABRINA SCALA,사브리나 스칼라
SACAI,사카이
SACAI LUCK,사카이 럭
Sacai SPONGE,사카이 스폰지
SADEY WITH LOVE,세이디 위드 러브
SAFILO,사필로
SAGRAMOLA,사그라몰라
SAINT LAURENT,생 로랑
SALAR,살라르
SALAR MILANO,살라르 밀라노
SALICE,살리체
SALT WATER,솔트 워터
SALVATORE FERRAGAMO,살바토레 페라가모
SALVATORE FERRAGAMO EYEWEAR,살바토레 페라가모 아이웨어
SALVATORE FERRAGAMO TIMEPIECES,살바토레 페라가모 타임피스
SALVATORE PICCOLO,살바토레 피콜로
SALVATORE SANTORO,살바토레 산토로
SAM EDELMAN,샘 에델만
SAMSONITE,샘소나이트
SAMSONITE BLACK LABEL,쌤소나이트 블랙 라벨
SAMUEL VANVIER,사무엘 반비에
SAN FRANCISCO,샌프란시스코
SANCIA,산시아
SANDRO,산드로
SANDRO FERRONE,산드로 페로네
SANDRO ROSI,산드로 로시
SANDRO VICARI,산드로 비카리
SANGUE,상구에
SANSEVERO,산세베로
SANTACROCE,산타크로체
SANTINO PUNTO,산티노 푼토
SANTONI,산토니
SANTONI EDITED BY MARCO ZANINI,산토니 에디티드 바이 마르코 자니니
SARA BATTAGLIA,사라 바탈리아
SARA LANZI,사라 란지
SARA ROKA,사라 로카
SARABANDA,사라반다
SARAH PACINI,사라 파치니
SARAHC,사라씨
SARTORIA CAMPO,사르토리아 캄포
SARTORIA LATORRE,사르토리아 라토레
SARTORIO,사르토리오
SATINE,사틴
SATNE,사틴
SAUCONY,소코니
SAVE MY BAG,세이브 마이 백
SAVE THE DUCK,세이브 더 덕
SAVILE ROW,사빌 로우
SAYLOR,세일러
SBU,에스비유
SCAGLIONE,스칼리오네
SCALE,스케일
SCAPA,스카파
SCAPA SPORTS,스카파 스포츠
SCARPA,스카르파
SCEE BY TWINSET,스씨 바이 트윈셋
SCENIC,시닉
SCERVINO STREET,세르비노 스트리트
SCHA,스하
SCHIELD,쉴드
SCHIESSER,쉬저
SCHOTER,쇼터
SCHOTT,쇼트
SCIUSCERT,시우세르트
SCOTCH SODA,스카치 앤 소다
SCOTLAND,스코틀랜드
SCOTT,스콧
SCOUT,스카우트
SCQUADRA 48,스콰드라 48
SCURA,스쿠라
SD,에스디
SD FASHION,SD 패션
SEAFARER,시페어러
SEBASTIAN,세바스찬
SEBASTIAN MILANO,세바스티안 밀라노
SECRET,시크릿
SEFORA,세포라
SELECTION,셀렉션
Self Portrait ,셀프포트레이트
SELF-PORTRAIT,셀프-포트레이트
SEMICOUTURE,세미쿠튀르
SEMI-COUTURE,세미-쿠튀르
SEMPLICE,셈플리체
SENSE,센스
SENSUNIQUE,센스유니크
SEQUENCE,시퀀스
SERAFINI MANHATTAN,세라피니 맨하탄
SERGIO DARICELLO,세르지오 다리첼로
SERGIO LEVANTESI,세르지오 레반테시
SERGIO ROSSI,세르지오 로시
SERGIO ROSSI X MAWI,세르지오 로시 X 마위
SERGIO TEGON,세르지오 테곤
SERGIO TEGON DIFFUSION,세르지오 테곤 디퓨전
SERGIO TOMANI,세르지오 토마니
SERGIO ZAMBON,세르지오 잠본
SERMONETA,세르모네타
SERPUI,세르푸이
SETTANTATRE LR,세탄타트레 LR
SETTE.8,세테.8
SETTECAMINI,세테카미니
SEVENTY,세븐티
SEVERI DARLING,세베리 달링
SHADOW,쉐도우
SHAFT JEANS,샤프트 진스
SHAG,샤그
SHAMAN,샤만
SHANOLA,샤놀라
SHANY BAR,샤니 바
SHARP,샤프
SHIELD,쉴드
SHIFT,쉬프트
SHINE,샤인
SHINOBU ITO,시노부 이토
SHIRT C-ZERO,셔츠 씨-제로
SHOE LAB,슈 랩
SHOES LAB,슈즈 랩
SHOOT,슛
SHOP ART,샵 아트
SHOP GIRL,샵 걸
SHOTO,쇼토
SHOTOF,쇼토프
SHUTTLE,셔틀
SIBEL SARAL,시벨 사랄
SIDNEY,시드니
SIES MARJAN,시에스 마잔
SIGERSON MORRISON,시거슨 모리슨
SIGNATURE,시그니처
SILVESTER,실베스터
SILVESTRE,실베스트
SILVESTRE PREMIUM,실베스트 프리미엄
SILVIA ROSSINI,실비아 로시니
SILVIAN HEACH,실비안 히치
SILVIAN HEACH KIDS,실비안 히치 키즈
SIMON CRACKER,사이먼 크래커
SIMON MILLER,사이먼 밀러
SIMONA BARBIERI,시모나 바르비에리
SIMONA CORSELLINI,시모나 코르셀리니
SIMONE MURPHY,시몬 머피
SIMONE ROCHA,시몬 로샤
SIMONE TESSADORI,시몬 테사도리
SIMONETTA,시모네타
SIMONETTA MINI,시모네타 미니
SIMONETTA RAVIZZA,시모네타 라비자
SIMONETTA RAVIZZA DENIM,시모네타 라비자 데님
SIMONETTA TINY,시모네타 타이니
SIMONGZ,사이몬지
SIMONNA,시몬나
SIMPLE,심플
SINEQUANONE,신쿼노네
SINGLE,싱글
SINK OR SWIM,싱크 오어 스윔
SINQUANONE,시네쿼노운
SISTE' S,시스테 S
SISTER JANE,시스터 제인
SIVIGLIA,시빌리아
SIVIGLIA WHITE,시빌리아 화이트
SIXTH JUNE,식스스 준
SIYU,시유
SKA,스카
SKALL STUDIO,스칼 스튜디오
SKAZI,스카지
SKIMS,스킴스
SKIN,스킨
SKINNY,스키니
SKULL JEANS,스컬 진스
SKY,스카이
SLAMP,슬램프
SLASH,슬래시
SLEEK,슬릭
SLIM,슬림
SLING,슬링
SLIP,슬립
SLOW,슬로우
SMART,스마트
SMASH,스매시
S'MAX MARA,에스맥스 마라
SMILE,스마일
SMINFINITY,SM인피니티
SMOOTH,스무스
SNOBBY SHEEP,스노비 쉽
SNOBS,스놉스
SO NICE,소 나이스
SOALLURE,소얼루어
SOANI,소아니
SOCIETA ANONIMA,소시에타 아노니마
SOFIE D'HOORE,소피 도레
SOHER,소헤르
SOL SOCIETY,솔 소사이어티
SOLADA,솔라다
SOLER,솔러
SOLID STRIPED,솔리드 앤 스트라이프드
SOLIDO,솔리도
SOPHIE,소피
SORELLE SECLI,소렐레 세클리
SOUTH BEACH,사우스 비치
South2 West8,사우스투웨스트에잇
SPACE STYLE CONCEPT,스페이스 스타일 컨셉
SPAGO,스파고
SPALDING,스팔딩
SPALLANZANI,스팔란자니
SPAZIO MARZIO,스파지오 마르지오
SPECTUSSHOECO,스펙터스슈코
SPEDIZIONE,스페디지오네
SPELA,스펠라
SPORTMAX,스포트막스
SPORTY RICH,스포티앤리치
SPRAYGROUND,스프레이그라운드
SPRIT,스프릿
SPUNKY,스펑키
STEFANEL,스테파넬
STEFANIA CARRERA,스테파니아 카레라
STEFANO DE LELLIS,스테파노 데 렐리스
STEFANO RICCI,스테파노 리치
STEFFEN SCHRAUT,스테펜 슈라우트
STEFFIE,스테피
STELLA,스텔라
STELLA JEAN,스텔라 진
STELLA LUNA,스텔라 루나
STELLA MCCARTNEY,스텔라 맥카트니
STELLA McCARTNEY KIDS,스텔라 매카트니 키즈
STELLABERG,스텔라베르그
STEMAR,스테마르
STEPHANIE,스테파니
STEVE'S,스티브스
STILE LATINO,스틸레 라티노
STILE WHIM,스타일 윔
STILEMODA,스틸레
STONE ISLAND,스톤 아일랜드
STONE ISLAND SHADOW PROJECT,스톤 아일랜드 쉐도우 프로젝트
STRATHBERRY,스트라스베리
STUART WEITZMAN,스튜어트 와이츠먼
STUDIO LA PERLA,스튜디오 라 페를라
SUNFLOWER,썬플라워
SUNNEI,써네이
SUPERGA,수페르가
TAGLIATORE,탈리아토레
TATRAS,타트라스
TELA,텔라
The Attico,디 아티코
THE BRIDGE,더 브릿지
THE NORTH FACE,노스페이스
THE ROW,더 로우
THEMOIR,써모어
THEORY,띠어리
thom browne,톰 브라운
THROWBACK,쓰로백
Tods,토즈
TOM FORD,톰 포드
TOMBOLINI,톰볼리니
TOMBOLINI ZERO GRAVITY,톰볼리니 제로 그래비티
TOMMY HILFIGER,타미힐피거
TOMMY JEANS,타미진
TORY BURCH,토리 버치
Toteme,토템
TRE,에트르
TRUSSARDI,트루사디
TRUSSARDI JEANS,트루사디 진
TWINSET,트윈셋
UNDERCOVER,언더커버
VALENTINO,발렌티노
VALENTINO GARAVANI,발렌티노 가라바니
VALEXTRA,발렉스트라
VANESSA BRUNO,바네사 브루노
VANS,반스
VERSACE,베르사체
VERSACE HOME,베르사체 홈
VERSACE JEANS COUTURE,베르사체 진 쿠튀르
VHERNIER,베르니에
VIC MATI,빅 마티
VICINI,비치니
VICTORIA BECKHAM,빅토리아 베컴
VILEBREQUIN,빌보콰
VINCE,빈스
VISION OF SUPER,비전오브슈퍼
VIVETTA,비베타
VIVIENNE WESTWOOD,비비안 웨스트우드
WALES BONNER,웨일즈 보너
WANDLER,반들러
WOOLRICH,울리치
WOOLRICH JOHN RICH BROS,울리치 존 리치 앤 브로스
WOOYOUNGMI,우영미
YEEZY,이지
YOUNG VERSACE,영 베르사체
YPROJECT,와이프로젝트
ZadigVoltaire,쟈딕 앤 볼테르
ZANELLATO,자넬라토
ZANOTTI,자노티
ZEGNA,제냐
ZIMMERMANN,지머만
Serapian,세라피아
MOREAU,메종 모로
Giancarlo Nevola,지안카를로네볼라
CHAMPION,챔피온
MM6,메종 마르지엘라
Aliita,알리타
ALESSANDRA RICH,알렌산드라리치
ALLUJEWELS,알루주얼스
Apm Monaco,에이피엠모나코
ASSOULINE,애술린
CHARLOTTE CHESNAIS,샬롯슈네이
Coach,코치
Jessie Western,제씨 웨스턴
Kapital,캐피탈
LA CARRIE,라캐리
MONIES,머니스
Needles,니들스
Rabanne,라반
SUOT,스와치
Swarovski,스와로브스키
UMA WANG,우마 왕
3JUIN Bea,3주인
7 FOR ALL MANKIND,세븐 포 올 맨카인드
Alberto Fasciani,알베르토파시아니
Angel Alarcon,앙겔알라콘
Ash,아쉬
Astorflex,아스토플렉스
BLUNDSTONE,블런드스톤
Camper,캠퍼
CLARKS,클락스
Del Carlo,데 카를로
DR MARTENS,닥터마틴 
ENES,에네스
FEAR OF GOD,피어오브갓
GAEMME,지에이엠
Halmanera,할마네라
Kassl,카슬
Maretto,마레토
Moma,모마
Moreau Paris,모로 파리
MR MITTENS,미스터 미텐스
Ninalilou,니나릴로우
Our Legacy,아워 레가시
Panchic,팬쉭
Paris Texas,파리텍사스
Pawelks,파웰크
PLEATS PLEASE ISSEY MIYAKE,이세이 미야케
Red Wing Shoes,레드윙
Ren? Caovilla,르네카오빌라
SEFR,세퍼
Skorpios,스콜피오
SONORA,소노라
Stand Studio,스탠드 스튜디오
Sturlini,스투르리니
Trickers,트리커즈
Via Roma 15,비아로마
WEEKEND MAX MARA,위켄드 막스마라
adidas,아디다스
Copenhagen,코펜하겐
DRMARTENS,닥터마틴
Extreme Cashmere,익스트림 캐시미어
Frame,프레임
HED MAYNER,헤드메이너
JEAN PAUL GAULTIER,장폴고티에
KWay,까웨
Maison Mihara Yasuhiro,메종 미하라야스히로
MASHA POPOVA,마샤 포포바
OTTANGE,오땡쥬
PACMAN,팩맨
SAINT MXXXXXX,세인트 미카엘
Sartore,사토레
SEE BY CHLOE,싸바이 끌로에
SETCHU,셋추
Transit,트랜짓
UGG,어그
Allude,얼루드
Arch4,아치4
Auralee,오라리
BASE,베이스
Beams Plus,빔즈 플러스
By Far,바이파
CASTANER,까따네르
Cotton Citizen,코튼 시티즌
DIOTIMA,디오티마
DUNST,던스트
ERMANNO FIRENZE,에르마노 피렌제
HERSKIND,허스카인드
Hosio,호시오
JM WESTON,제이엠웨스통
LISA YANG,리사 양
LOULOU STUDIO,루루 스튜디오
MORDECAI,모르드개
RETROFETE,레트로페테
Ten C,텐씨
Visvim,비즈빔
ANITA BILARDI,아니타 빌라디
BY FAR,바이파
MAGDA BUTRYM,마그다 부트림
MANSUR GAVRIEL,만수르 가브리엘
THEMOIRE,더모아레
Vic Matie,빅마티
Yuzefi,유제피
ZANCHETTI ITALIA,잔체티
BONPOINT,봉쁘앙 
Canada Goose,캐나다구스
IL GUFO,일구포
JAKKE,자케
LEMPELIUS,렘펠리어스
Moorer,무레르
PATOU JP,파투
SEBAGO,세바고
ZANCHETTI,잔체티
GUEST IN RESIDENCE ,게스트 인 레지던스
ALYSI,알리지
AMOMENTO,아모멘토
Barrie,배리
BEYOU,비유
BOGNER,보그너
CT PLAGE,씨티플라주
DANIELA GREGIS,다니엘라 그레지스
DESTIN,데스틴
Gr10K,지알텐케이
Howlin,하울린
Ines,이네스
JeanLuc,몽클레어
John Smedley,존스메들리
JUNYA,준야
MAJESTIC,마제스틱
MARELLA,마렐라
MRZ,엠알지
Nanamica,나나미카
nonnative,논네이티브
PATOU,파투
WE11 DONE,웰던
Zanone,자노네
AGOLDE,에이골디
ALYX,알릭스
AMISH,아미쉬
BAUM UND PFERDGARTEN,바움 운드 페르드가르텐
CHRISTOPHER ESBER,크리스토퍼 에스버
Citizen Of Humanity,시티즌 오브 휴머니티
DARKPARK,다크파크
ERIKA CAVALLINI,에리카 카발리니
GIUSEPPE DI MORABITO,쥬세페 디 모라비토
HAIKURE,하이쿠레
Human Made,휴먼 메이드
IRO,이로
LEVIS,리바이스
MOTHER,마더
PT TORINO,피티 토리노
SAKS POTTS,삭스파츠
Selected,샤틴
True Avenue,트루 에비뉴
WARDROBE,와드로브
BRIGLIA,브릴리아
ARLO,아를로
FURLING BY GIANI,펄링바이지아니
I LOVE MY PANTS,아이러브마이팬츠
