eng_name,kor_name
CROMIA,크로미아
CRUCIANI,크루치아니
CRUCIANI C,크루치아니 씨
CULT,컬트
CАПОГИ,사포기
D.EXTERIOR,디.익스테리어
D'ACQUASPARTA,닥콰스파르타
D'ACQUASPARTA SHOES,닥콰스파르타 슈즈
DAILY PAPER,데일리 페이퍼
DANIELE ALESSANDRINI,다니엘레 알레산드리니
DANIELE FIESOLI,다니엘레 피에솔리
DANZA,단자
DARK LABEL,다크 라벨
DARKSTAR,다크스타
DAVID NAMAN,데이비드 나만
DAVIDE CENCI,다비데 첸치
DE SIENA,드 시에나
DE TOMASO,데 토마소
DEL SIENA,델 시에나
DELFINA DELETTREZ,델피나 델레트레즈
DES PHEMMES,데 펨메스
DESICA,데시카
DESIGNER'S REMIX,디자이너스 리믹스
DG,디앤지
DIADORA,디아도라
DIADORA HERITAGE,디아도라 헤리티지
DIANA GALLESI,디아나 갈레시
DICKIES,디키즈
DIESEL,디젤
DIESEL BLACK GOLD,디젤 블랙 골드
DIMENSIONE DANZA,디멘시오네 단자
DIOR,디올
DIRK BIKKEMBERGS,더크 비켐버그
DISCLAIMER,디스클레이머
DMITRI,드미트리
DOLCE GABBANA,돌체앤가바나
DOLCE GABBANA JUNIOR,돌체앤가바나 주니어
DOLCEGABBANA,돌체앤가바나
DOMENICO TAGLIENTE,도메니코 탈리엔테
DONATO RICCI,도나토 리치
DONDUP,돈덥
DONDUP DQUEEN,돈덥 디퀸
DOUCALS,두칼스
Dragon Diffusion,드래곤디퓨전
DRIES VAN NOTEN,드리스 반 노튼
Drole De Monsieur,드롤드무슈
DRUMOHR,드루모어
DSQUARED2,디스퀘어드2
DUNHILL,던힐
DV ROMA,디브이 로마
E. MARINELLA,이. 마리넬라
EA7 EMPORIO ARMANI,EA7 엠포리오 아르마니
EASTPAK,이스트팩
EDDY MONETTI,에디 모네티
EDHEN MILANO,에덴 밀라노
Edmmond Studios,에드몬드 스튜디오
EDWARD GREEN,에드워드 그린
EDWIN,에드윈
ELEVENTY,일레븐티
ELISABETTA FRANCHI,엘리사베타 프랑키
EMANUELE BICOCCHI,에마누엘레 비코치
EMANUELE CURCI,에마누엘레 쿠르치
EMANUELE MAFFEIS,에마누엘레 마페이스
EMIDIO TUCCI,에미디오 투치
EMILIO PUCCI,에밀리오 푸치
EMMANUEL,엠마누엘
EMPORIO ARMANI,엠포리오 아르마니
EMPORIO ARMANI EA7,엠포리오 아르마니 EA7
ENTIRE STUDIOS,엔타이어 스튜디오
EQUIPMENT,이큅먼트
